timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Количество облаков увеличилось,Ливневый дождь со снегом,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Морось (незамерзающая) слабая с перерывами,Ливневый дождь,Дымка (видимость больше 1 км),Ливневой дождь слабый,Дождь (незамерзающий) слабый с перерывами,Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Осадки (не достигают поверхности земли),"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с","Пыльная (песчаная) буря, слабая или умеренная, ослабела"
1585875600,"Пятница, 3 апреля
01:00 (UTC)",,,,,,,,,,,,,,,,,,743.0,,,,2.9,,83.6,,,,,южный,,,,,3.0,
1585879200,"Пятница, 3 апреля
02:00 (UTC)",,,,,,,,,,,,,,,,,,743.0,,,,2.9,,83.0,,,,,южный,,,,,3.0,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,менее 0.1,,,,менее 0.1,,,,,,,,10.0,743.0,,,,3.0,,81.8,,,2.6,,южный,10.0,,,,3.0,
1585886400,"Пятница, 3 апреля
04:00 (UTC)",,,,,,,,,,,,,,,,,,743.0,,,,3.5,,78.4,,,,,южный,,,,,3.0,
1585890000,"Пятница, 3 апреля
05:00 (UTC)",,,,,,,,,,,,,,,,,,743.0,,,,4.3,,73.6,,,,,южный,,,,,4.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,11.0,,,,,,,,,,,,,,10.0,743.0,,,,4.8,,69.0,,,,,южный,10.0,,,,5.0,
1585897200,"Пятница, 3 апреля
07:00 (UTC)",,,,,,,,,,,,,,,,,,743.0,,,,5.7,,64.8,,,,,южный,,,,,4.0,
1585900800,"Пятница, 3 апреля
08:00 (UTC)",,,,,,,,,,,,,,,,,,743.0,,,,6.9,,53.1,,,,,южный,,,,,5.0,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,,,,,10.0,743.0,,,,7.9,,44.3,,,,,южный,10.0,,,,6.0,
1585908000,"Пятница, 3 апреля
10:00 (UTC)",,,,,,,,,,,,,,,,,,742.0,,,,8.8,,44.3,,,,,южный,,,,,5.0,
1585911600,"Пятница, 3 апреля
11:00 (UTC)",,,,,,,,,,,,,,,,,,742.0,,,,9.1,,39.7,,,,,южный,,,,,6.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,17.0,,,,,,,,,,,,,,10.0,742.0,,,,8.2,,42.8,,,,,южный,10.0,,,,5.0,
1585918800,"Пятница, 3 апреля
13:00 (UTC)",,,,,,,,,,,,,,,,,,742.0,,,,8.3,,41.6,,,,,южный,,,,,6.0,
1585922400,"Пятница, 3 апреля
14:00 (UTC)",,,,,,,,,,,,,,,,,,742.0,,,,8.2,,42.5,,,,,южный,,,,,4.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,13.0,,,,,,,,,,,,,,10.0,742.0,,,,8.4,,40.7,,,,,южный,10.0,,,9.4,5.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,12.0,,,,,,,,,,,,,,10.0,742.0,,,,7.4,,41.3,,,,,южный,9.0,,,,4.0,
1585940400,"Пятница, 3 апреля
19:00 (UTC)",,,12.0,,,,,,,,,,,,,,,743.0,,,,7.4,,42.2,,,,,западный,,,,,3.0,
1585944000,"Пятница, 3 апреля
20:00 (UTC)",,,12.0,,,,,,,,,,,,,,,744.0,,,,5.8,,64.8,,,,,юго-западный,,,,,4.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,11.0,,,,True,,,,,,,,,,10.0,744.0,,,,4.5,,74.2,,,,,южный,10.0,,,,3.0,
1585951200,"Пятница, 3 апреля
22:00 (UTC)",,,,,,,,,,,,,,,,,,744.0,,,,3.8,,73.5,,,,,южный,,,,,2.0,
1585954800,"Пятница, 3 апреля
23:00 (UTC)",,,,,,,,,,,,,,,,,,744.0,,,,3.8,,74.0,,,,,юго-западный,,,,,2.0,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,True,,,,,,,10.0,744.0,,,,3.2,,76.1,,,,,юго-западный,5.0,,,,2.0,
1585962000,"Суббота, 4 апреля
01:00 (UTC)",,,,,,,,,,,,,,,,,,745.0,,,,2.6,,76.0,,,,,юго-западный,,,,,3.0,
1585965600,"Суббота, 4 апреля
02:00 (UTC)",,,,,,,,,,,,,,,,,,745.0,,,,2.4,,76.5,,,,,юго-западный,,,,,3.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,0.2,,,,0.2,,,,,,,,10.0,745.0,,,,2.0,,76.5,,,2.0,,юго-западный,0.0,,,,3.0,
1585972800,"Суббота, 4 апреля
04:00 (UTC)",,,,,,,,,,,,,,,,,,746.0,,,,2.3,,74.3,,,,,юго-западный,,,,,2.0,
1585976400,"Суббота, 4 апреля
05:00 (UTC)",,,,,,,,,,,,,,,,,,747.0,,,,3.6,,66.8,,,,,западный,,,,,3.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10.0,747.0,,,,5.0,,58.8,,,1.9,,западный,2.0,,,,4.0,
1585983600,"Суббота, 4 апреля
07:00 (UTC)",,,,,,,,,,,,,,,,,,748.0,,,,5.8,,51.6,,,,,западный,,,,,4.0,
1585987200,"Суббота, 4 апреля
08:00 (UTC)",,,,,,,,,,,,,,,,,,748.0,,,,6.6,,45.3,,,,,западный,,,,,4.0,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,10.0,,,,,,,,,,,,,,10.0,748.0,,,,7.7,,37.5,,,,,западный,4.0,,,,4.0,
1585994400,"Суббота, 4 апреля
10:00 (UTC)",,,,,,,,,,,,,,,,,,749.0,,,,7.9,,31.7,,,,,западный,,,,,4.0,
1585998000,"Суббота, 4 апреля
11:00 (UTC)",,,,,,,,,,,,,,,,,,750.0,,,,7.0,,35.6,,,,,западный,,,,,5.0,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,11.0,,,,,,,,,,,,,,10.0,750.0,,,,6.8,,38.1,,,,,северо-западный,4.0,,,,3.0,
1586005200,"Суббота, 4 апреля
13:00 (UTC)",,,,,,,,,,,,,,,,,,751.0,,,,6.7,,48.5,,,,,северо-западный,,,,,2.0,
1586008800,"Суббота, 4 апреля
14:00 (UTC)",,,,,,,,,,,,,,,,,,751.0,,,,6.2,,47.3,,,,,северо-западный,,,,,3.0,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,11.0,,0,,,,,,,,,,,,10.0,752.0,,,,6.2,,37.3,,,,,северо-западный,2.0,,,8.6,3.0,
1586016000,"Суббота, 4 апреля
16:00 (UTC)",,,,,,,,,,,,,,,,,,753.0,,,,4.7,,32.0,,,,,северо-западный,,,,,2.0,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10.0,754.0,,,,2.1,,46.4,,,,,северо-западный,0.0,,,,1.0,
1586026800,"Суббота, 4 апреля
19:00 (UTC)",,,,,,,,,,,,,,,,,,754.0,,,,-0.6,,60.9,,,,,,,,,,0.0,
1586030400,"Суббота, 4 апреля
20:00 (UTC)",,,,,,,,,,,,,,,,,,755.0,,,,-0.1,,60.6,,,,,,,,,,0.0,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,755.0,,,,-1.0,,65.2,,,,,,0.0,,,,0.0,
1586037600,"Суббота, 4 апреля
22:00 (UTC)",,,,,,,,,,,,,,,,,,755.0,,,,-0.4,,61.0,,,,,западный,,,,,1.0,
1586041200,"Суббота, 4 апреля
23:00 (UTC)",,,,,,,,,,,,,,,,,,755.0,,,,-1.0,,64.7,,,,,западный,,,,,1.0,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,756.0,,,,-1.3,,68.7,,,,,западный,0.0,,,,1.0,
1586048400,"Воскресенье, 5 апреля
01:00 (UTC)",,,,,,,,,,,,,,,,,,756.0,,,,-1.2,,67.7,,,,,западный,,,,,1.0,
1586052000,"Воскресенье, 5 апреля
02:00 (UTC)",,,,,,,,,,,,,,,,,,756.0,,,,-2.1,,74.0,,,,,,,,,,0.0,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,,10.0,756.0,,,,-1.8,,73.5,,,-2.9,,,4.0,,,,0.0,
1586059200,"Воскресенье, 5 апреля
04:00 (UTC)",,,,,,,,,,,,,,,,,,756.0,,,,-1.1,,72.6,,,,,,,,,,0.0,
1586062800,"Воскресенье, 5 апреля
05:00 (UTC)",,,,,,,,,,,,,,,,,,756.0,,,,1.4,,58.7,,,,,юго-западный,,,,,1.0,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10.0,756.0,,,,2.4,,56.3,,,,,западный,7.0,,,,2.0,
1586070000,"Воскресенье, 5 апреля
07:00 (UTC)",,,,,,,,,,,,,,,,,,756.0,,,,4.1,,47.7,,,,,западный,,,,,2.0,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,0.0,756.0,,,,0.7,,88.4,,,,,северо-западный,10.0,,True,,2.0,
1586080800,"Воскресенье, 5 апреля
10:00 (UTC)",,,,,,,,,,,,,,,,,,756.0,,,,0.0,,85.1,,,,,северо-западный,,,,,4.0,
1586084400,"Воскресенье, 5 апреля
11:00 (UTC)",,,,,,,,,,,,,,,,,,756.0,,,,2.8,,59.1,,,,,северо-западный,,,,,3.0,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,10.0,,,,,,,True,,,,,,,10.0,756.0,,,,3.2,,51.2,,,,,северо-западный,7.0,,,,4.0,
1586091600,"Воскресенье, 5 апреля
13:00 (UTC)",,,,,,,,,,,,,,,,,,756.0,,,,3.4,,45.4,,,,,северо-западный,,,,,3.0,
1586095200,"Воскресенье, 5 апреля
14:00 (UTC)",,,,,,,,,,,,,,,,,,757.0,,,,3.0,,42.2,,,,,северо-западный,,,,,3.0,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,10.0,,0.5,,,,,True,,,,,,,,757.0,,,,2.4,,43.0,,,,,,2.0,,,4.6,,
1586102400,"Воскресенье, 5 апреля
16:00 (UTC)",,,,,,,,,,,,,,,,,,758.0,,,,1.3,,55.6,,,,,северо-западный,,,,,3.0,
1586106000,"Воскресенье, 5 апреля
17:00 (UTC)",,,,,,,,,,,,,,,,,,758.0,,,,0.4,,60.7,,,,,северо-западный,,,,,3.0,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,11.0,,,,,,,True,,,,,,,10.0,758.0,,,,-0.3,,64.9,,,,,северо-западный,4.0,,,,3.0,
1586113200,"Воскресенье, 5 апреля
19:00 (UTC)",,,,,,,,,,,,,,,,,,759.0,,,,-0.9,,69.4,,,,,северо-западный,,,,,2.0,
1586116800,"Воскресенье, 5 апреля
20:00 (UTC)",,,,,,,,,,,,,,,,,,759.0,,,,-1.0,,69.3,,,,,северо-западный,,,,,2.0,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,759.0,,,,-1.3,,68.7,,,,,северо-западный,0.0,,,,2.0,
1586124000,"Воскресенье, 5 апреля
22:00 (UTC)",,,,,,,,,,,,,,,,,,759.0,,,,-1.6,,70.3,,,,,северо-западный,,,,,2.0,
1586127600,"Воскресенье, 5 апреля
23:00 (UTC)",,,,,,,,,,,,,,,,,,760.0,,,,-1.9,,70.2,,,,,северо-западный,,,,,2.0,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,760.0,,,,-2.3,,70.7,,,,,северо-западный,2.0,,,,2.0,
1586134800,"Понедельник, 6 апреля
01:00 (UTC)",,,,,,,,,,,,,,,,,,760.0,,,,-2.6,,71.7,,,,,северо-западный,,,,,2.0,
1586138400,"Понедельник, 6 апреля
02:00 (UTC)",,,,,,,,,,,,,,,,,,761.0,,,,-3.0,,74.4,,,,,северо-западный,,,,,1.0,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,0,,,,0.5,,,,,,,,10.0,761.0,,,,-3.1,,73.9,,,-3.1,,северо-западный,0.0,,,,2.0,
1586145600,"Понедельник, 6 апреля
04:00 (UTC)",,,,,,,,,,,,,,,,,,762.0,,,,-2.6,,73.4,,,,,северо-западный,,,,,2.0,
1586149200,"Понедельник, 6 апреля
05:00 (UTC)",,,,,,,,,,,,,,,,,,762.0,,,,-1.1,,65.2,,,,,северо-западный,,,,,2.0,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10.0,763.0,,,,0.8,,55.5,,,-3.2,,северо-западный,0.0,,,,2.0,
1586156400,"Понедельник, 6 апреля
07:00 (UTC)",,,,,,,,,,,,,,,,,,763.0,,,,2.2,,40.7,,,,,северо-западный,,,,,3.0,
1586160000,"Понедельник, 6 апреля
08:00 (UTC)",,,,,,,,,,,,,,,,,,763.0,,,,3.3,,32.6,,,,,северо-западный,,,,,3.0,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,763.0,,True,,2.4,,46.1,,,,,северо-западный,7.0,,,,3.0,
1586167200,"Понедельник, 6 апреля
10:00 (UTC)",,,,,,,,,,,,,,,,,,763.0,,,,3.0,,41.2,,,,,северо-западный,,,,,3.0,
1586170800,"Понедельник, 6 апреля
11:00 (UTC)",,,,,,,,,,,,,,,,,,764.0,,,,0.8,,54.6,,,,,северный,,,,,3.0,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,10.0,764.0,,,,3.1,,37.2,,True,,,северо-западный,2.0,,,,3.0,
1586178000,"Понедельник, 6 апреля
13:00 (UTC)",,,,,,,,,,,,,,,,,,764.0,,,,3.1,,32.8,,,,,северо-западный,,,,,2.0,
1586181600,"Понедельник, 6 апреля
14:00 (UTC)",,,,,,,,,,,,,,,,,,764.0,,,,0.5,,58.5,,,,,северный,,,,,3.0,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,менее 0.1,,,,,,,,,,,,10.0,765.0,,,,1.8,,36.8,,,,,северо-западный,1.0,,,3.8,2.0,
1586188800,"Понедельник, 6 апреля
16:00 (UTC)",,,,,,,,,,,,,,,,,,765.0,,,,0.1,,51.6,,,,,северный,,,,,1.0,
1586192400,"Понедельник, 6 апреля
17:00 (UTC)",,,,,,,,,,,,,,,,,,765.0,,,,-1.6,,59.8,,,,,,,,,,0.0,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10.0,766.0,,,,-1.9,,59.7,,,,,,0.0,,,,0.0,
1586199600,"Понедельник, 6 апреля
19:00 (UTC)",,,,,,,,,,,,,,,,,,766.0,,,,-3.5,,69.3,,,,,,,,,,0.0,
1586203200,"Понедельник, 6 апреля
20:00 (UTC)",,,,,,,,,,,,,,,,,,766.0,,,,-4.0,,74.8,,,,,,,,,,0.0,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,766.0,,,,-5.5,,82.5,,,,,,0.0,,,,0.0,
1586210400,"Понедельник, 6 апреля
22:00 (UTC)",,,,,,,,,,,,,,,,,,767.0,,,,-6.4,,87.7,,,,,,,,,,0.0,
1586214000,"Понедельник, 6 апреля
23:00 (UTC)",,,,,,,,,,,,,,,,,,767.0,,,,-7.0,,85.6,,,,,,,,,,0.0,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,767.0,,,,-7.1,,88.3,,,,,,0.0,,,,0.0,
1586221200,"Вторник, 7 апреля
01:00 (UTC)",,,,,,,,,,,,,,,,,,768.0,,,,-7.2,,86.3,,,,,,,,,,0.0,
1586224800,"Вторник, 7 апреля
02:00 (UTC)",,,,,,,,,,,,,,,,,,768.0,,,,-7.2,,81.0,,,,,,,,,,0.0,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,0,,,,менее 0.1,,,,,,,,10.0,768.0,,,,-7.8,,84.9,,,-8.1,,,0.0,,,,0.0,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10.0,768.0,,,,0.6,,41.1,,,,,западный,4.0,,,,2.0,
1586242800,"Вторник, 7 апреля
07:00 (UTC)",,,,,,,,,,,,,,,,,,767.0,,,,3.1,,30.0,,,,,западный,,,,,3.0,
1586246400,"Вторник, 7 апреля
08:00 (UTC)",,,,,,,,,,,,,,,,,,767.0,,,,4.6,,23.9,,,,,западный,,,,,3.0,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,766.0,,,,4.6,,22.9,,,,,юго-западный,10.0,,,,3.0,
1586253600,"Вторник, 7 апреля
10:00 (UTC)",,,,,,,,,,,,,,,,,,765.0,,,,5.3,,23.5,,,,,западный,,,,,3.0,
1586257200,"Вторник, 7 апреля
11:00 (UTC)",,,,,,,,,,,,,,,,,,765.0,,,,4.7,,26.6,,,,,западный,,,,,3.0,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,10.0,764.0,,,,5.0,,26.7,,,,,западный,10.0,,,,2.0,
1586264400,"Вторник, 7 апреля
13:00 (UTC)",,,,,,,,,,,,,,,,,,763.0,,,,5.5,,28.8,,,,,западный,,,,,2.0,
1586268000,"Вторник, 7 апреля
14:00 (UTC)",,,,,,,,,,,,,,,,,,762.0,,,,6.1,,29.5,,,,,юго-западный,,,,,2.0,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,0,,,,,,,,,,,,10.0,761.0,,,,5.9,,34.7,,,,,юго-западный,5.0,,,6.2,2.0,
1586278800,"Вторник, 7 апреля
17:00 (UTC)",,,,,,,,,,,,,,,,,,759.0,,,,3.8,,46.2,,,,,юго-восточный,,,,,1.0,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10.0,759.0,,,,3.1,,51.6,,,,,южный,4.0,,,,1.0,
1586286000,"Вторник, 7 апреля
19:00 (UTC)",,,,,,,,,,,,,,,,,,758.0,,,,3.2,,52.8,,,,,южный,,,,,2.0,
1586289600,"Вторник, 7 апреля
20:00 (UTC)",,,,,,,,,,,,,,,,,,757.0,,,,3.0,,54.8,,,,,южный,,,,,2.0,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,756.0,,,,3.3,,56.2,,,,,южный,0.0,,,,1.0,
1586296800,"Вторник, 7 апреля
22:00 (UTC)",,,,,,,,,,,,,,,,,,755.0,,,,2.5,,60.3,,,,,юго-восточный,,,,,1.0,
1586300400,"Вторник, 7 апреля
23:00 (UTC)",,,,,,,,,,,,,,,,,,754.0,,,,1.9,,64.4,,,,,южный,,,,,1.0,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,753.0,,,,1.2,,69.3,,,,,южный,0.0,,,,1.0,
1586307600,"Среда, 8 апреля
01:00 (UTC)",,,,,,,,,,,,,,,,,,752.0,,,,0.8,,72.4,,,,,юго-восточный,,,,,1.0,
1586311200,"Среда, 8 апреля
02:00 (UTC)",,,,,,,,,,,,,,,,,,751.0,,,,0.5,,75.6,,,,,юго-восточный,,,,,1.0,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,,10.0,751.0,,,,-0.2,,78.4,,,-0.6,,южный,2.0,,,,1.0,
1586318400,"Среда, 8 апреля
04:00 (UTC)",,,,,,,,,,,,,,,,,,750.0,,,,2.3,,70.5,,,,,,,,,,0.0,
1586322000,"Среда, 8 апреля
05:00 (UTC)",,,,,,,,,,,,,,,,,,750.0,,,,7.0,,50.8,,,,,западный,,,,,1.0,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10.0,750.0,,,,8.2,,45.8,,,,,западный,6.0,,,,2.0,
1586329200,"Среда, 8 апреля
07:00 (UTC)",,,,,,,,,,,,,,,,,,750.0,,,,9.3,,44.4,,,,,северо-западный,,,,,1.0,
1586332800,"Среда, 8 апреля
08:00 (UTC)",,,,,,,,,,,,,,,,,,750.0,,,,11.3,,42.1,,,,,западный,,,,,2.0,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,750.0,,,,10.7,,44.5,,,,,западный,10.0,,,,3.0,
1586340000,"Среда, 8 апреля
10:00 (UTC)",,,,,,,,,,,,,,,,,,750.0,,,,12.0,,43.3,,,,,западный,,,,,4.0,
1586343600,"Среда, 8 апреля
11:00 (UTC)",,,,,,,,,,,,,,,,,,751.0,,,,14.5,,38.1,,,,,северо-западный,,,,,3.0,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,10.0,,,,,,,,,,,,,,10.0,751.0,,,,14.5,,38.7,,,,,северо-западный,7.0,,,,3.0,
1586350800,"Среда, 8 апреля
13:00 (UTC)",,,,,,,,,,,,,,,,,,752.0,,,,11.4,,49.5,,,,,северо-западный,,,,,4.0,
1586354400,"Среда, 8 апреля
14:00 (UTC)",,,,,,,,,,,,,,,,,,752.0,,,,10.2,,52.1,,,,,северо-западный,,,,,3.0,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,10.0,,0,,,,,,,,,,,,10.0,752.0,,,,9.7,,52.3,,,,,северо-западный,7.0,,,14.7,2.0,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10.0,754.0,,,,7.2,,57.6,,,,,северо-западный,0.0,,,,1.0,
1586372400,"Среда, 8 апреля
19:00 (UTC)",,,,,,,,,,,,,,,,,,754.0,,,,5.8,,62.5,,,,,северо-западный,,,,,1.0,
1586376000,"Среда, 8 апреля
20:00 (UTC)",,,,,,,,,,,,,,,,,,754.0,,,,3.1,,73.4,,,,,,,,,,0.0,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,754.0,,,,1.2,,80.4,,,,,,0.0,,,,0.0,
1586383200,"Среда, 8 апреля
22:00 (UTC)",,,,,,,,,,,,,,,,,,754.0,,,,-0.2,,85.7,,,,,,,,,,0.0,
1586386800,"Среда, 8 апреля
23:00 (UTC)",,,,,,,,,,,,,,,,,,754.0,,,,0.2,,84.5,,,,,,,,,,0.0,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,754.0,,,,-0.9,,86.9,,,,,,2.0,,,,0.0,
1586394000,"Четверг, 9 апреля
01:00 (UTC)",,,,,,,,,,,,,,,,,,754.0,,,,-2.2,,88.8,,,,,,,,,,0.0,
1586397600,"Четверг, 9 апреля
02:00 (UTC)",,,,,,,,,,,,,,,,,,754.0,,,,-1.8,,90.1,,,,,южный,,,,,1.0,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,,10.0,753.0,,,,-2.2,,88.8,,,-2.4,,юго-восточный,2.0,,,,1.0,
1586404800,"Четверг, 9 апреля
04:00 (UTC)",,,,,,,,,,,,,,,,,,753.0,,,,1.4,,75.8,,,,,,,,,,0.0,
1586408400,"Четверг, 9 апреля
05:00 (UTC)",,,,,,,,,,,,,,,,,,753.0,,,,4.5,,64.5,,,,,западный,,,,,2.0,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10.0,752.0,,,,8.4,,51.6,,,,,юго-западный,2.0,,,,2.0,
1586415600,"Четверг, 9 апреля
07:00 (UTC)",,,,,,,,,,,,,,,,,,752.0,,,,11.2,,35.0,,,,,юго-западный,,,,,4.0,
1586419200,"Четверг, 9 апреля
08:00 (UTC)",,,,,,,,,,,,,,,,,,751.0,,,,12.2,,31.3,,,,,юго-западный,,,,,4.0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,,,,10.0,751.0,,,,13.6,,29.9,,,,,юго-западный,2.0,,,,4.0,
1586426400,"Четверг, 9 апреля
10:00 (UTC)",,,,,,,,,,,,,,,,,,750.0,,,,14.2,,28.5,,,,,юго-западный,,,,,4.0,
1586430000,"Четверг, 9 апреля
11:00 (UTC)",,,,,,,,,,,,,,,,,,749.0,,,,14.8,,26.6,,,,,юго-западный,,,,,4.0,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,10.0,,,,,,,,,,,,,,10.0,748.0,,,,14.4,,26.9,,,,,юго-западный,7.0,,,,5.0,
1586437200,"Четверг, 9 апреля
13:00 (UTC)",,,,,,,,,,,,,,,,,,748.0,,,,15.2,,24.1,,,,,юго-западный,,,,,4.0,
1586440800,"Четверг, 9 апреля
14:00 (UTC)",,,,,,,,,,,,,,,,,,747.0,,,,14.7,,24.3,,,,,юго-западный,,,,,4.0,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,11.0,,0,,,,,,,,,,,,10.0,746.0,,,,14.0,,26.0,,,,,юго-западный,10.0,,,15.2,3.0,
1586448000,"Четверг, 9 апреля
16:00 (UTC)",,,,,,,,,,,,,,,,,,746.0,,,,13.3,,28.9,,,,,юго-западный,,,,,1.0,
1586451600,"Четверг, 9 апреля
17:00 (UTC)",,,,,,,,,,,,,,,,,,746.0,,,,12.6,,31.0,,,,,юго-западный,,,,,1.0,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10.0,746.0,,,,12.2,,33.2,,,,,южный,10.0,,,,1.0,
1586458800,"Четверг, 9 апреля
19:00 (UTC)",,,,,,,,,,,,,,,,,,745.0,,,,10.3,,39.1,,,,,южный,,,,,1.0,
1586462400,"Четверг, 9 апреля
20:00 (UTC)",,,,,,,,,,,,,,,,,,744.0,,,,11.4,,35.8,,,,,юго-западный,,,,,3.0,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,744.0,,,,11.4,,38.9,,,,,западный,10.0,,,,3.0,
1586469600,"Четверг, 9 апреля
22:00 (UTC)",,,,,,,,,,,,,,,,,,744.0,,,,8.4,,76.4,,,,,западный,,,,,3.0,
1586473200,"Четверг, 9 апреля
23:00 (UTC)",,,,,,,,,,,,,,,,,,743.0,,,,7.2,,86.5,,,,,юго-западный,,,,,1.0,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,743.0,,,,7.7,,80.7,,,,True,юго-западный,10.0,,,,2.0,
1586480400,"Пятница, 10 апреля
01:00 (UTC)",,,,,,,,,,,,,,,,,,743.0,,,,7.5,,81.8,,,,,западный,,,,,2.0,
1586484000,"Пятница, 10 апреля
02:00 (UTC)",,,,,,,,,,,,,,,,,,743.0,,,,5.2,,88.1,,,,,северо-западный,,,,,3.0,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,True,1,,,,1,,,,,,,,10.0,744.0,,,,4.1,,89.3,,,4.1,,северо-западный,10.0,,,,2.0,
1586491200,"Пятница, 10 апреля
04:00 (UTC)",,,,,,,,,,,,,,,,,,744.0,,,,3.9,,87.4,,,,,северо-западный,,,,,2.0,
1586494800,"Пятница, 10 апреля
05:00 (UTC)",,,,,,,,,,,,,,,,,,745.0,,,,4.0,,85.6,,,,,северо-западный,,,,,2.0,
